InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
540456,48185,DOORMAT FAIRY CAKE,2,2011-01-07 12:14:00,7.95,13534.0,United Kingdom,15.9
566891,23013,GLASS APOTHECARY BOTTLE TONIC,4,2011-09-15 13:51:00,3.95,14894.0,United Kingdom,15.8
C562139,21313,GLASS HEART T-LIGHT HOLDER ,-4,2011-08-03 10:10:00,0.85,12921.0,United Kingdom,-3.4
565438,22382,LUNCH BAG SPACEBOY DESIGN ,4,2011-09-04 13:56:00,1.65,17229.0,United Kingdom,6.6
566016,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-09-08 12:20:00,0.55,15144.0,United Kingdom,13.200000000000001
557598,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-06-21 11:33:00,1.65,14667.0,United Kingdom,3.3
561704,21533,RETROSPOT LARGE MILK JUG,1,2011-07-29 11:07:00,4.95,14606.0,United Kingdom,4.95
581001,22726,ALARM CLOCK BAKELIKE GREEN,24,2011-12-07 08:07:00,3.75,12583.0,France,90.0
542890,84865,NEW BAROQUE BLACK PHOTO ALBUM,2,2011-02-01 13:25:00,8.5,15311.0,United Kingdom,17.0
573287,21314,SMALL GLASS HEART TRINKET POT,8,2011-10-28 14:42:00,2.1,14194.0,United Kingdom,16.8
547909,22151,PLACE SETTING WHITE HEART,10,2011-03-28 12:22:00,0.42,15033.0,United Kingdom,4.2
570693,23132,SMALL IVORY HEART WALL ORGANISER,1,2011-10-11 16:50:00,5.75,16161.0,United Kingdom,5.75
571441,22107,PIZZA PLATE IN BOX,12,2011-10-17 13:31:00,3.29,14096.0,United Kingdom,39.480000000000004
556721,21129,SILVER FISHING GNOME ,7,2011-06-14 11:23:00,6.95,15218.0,United Kingdom,48.65
580911,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,2011-12-06 13:30:00,2.95,14503.0,United Kingdom,35.400000000000006
550001,47566,PARTY BUNTING,16,2011-04-14 09:28:00,4.95,17704.0,United Kingdom,79.2
550811,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,2011-04-20 16:04:00,1.25,16011.0,United Kingdom,30.0
578441,22082,RIBBON REEL STRIPES DESIGN ,5,2011-11-24 12:24:00,1.65,17133.0,United Kingdom,8.25
551439,22768,FAMILY PHOTO FRAME CORNICE,2,2011-04-28 15:26:00,9.95,14758.0,United Kingdom,19.9
565331,22072,RED RETROSPOT TEA CUP AND SAUCER ,1,2011-09-02 13:59:00,3.75,16674.0,United Kingdom,3.75
538012,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,1,2010-12-09 12:32:00,3.25,14527.0,United Kingdom,3.25
574154,22840,ROUND CAKE TIN VINTAGE RED,2,2011-11-03 11:32:00,7.95,13709.0,United Kingdom,15.9
C563918,23198,PANTRY MAGNETIC  SHOPPING LIST,-1,2011-08-21 13:47:00,1.45,14572.0,United Kingdom,-1.45
555340,22776,SWEETHEART CAKESTAND 3 TIER,1,2011-06-02 11:33:00,9.95,13334.0,United Kingdom,9.95
575128,22507,MEMO BOARD RETROSPOT  DESIGN,4,2011-11-08 14:27:00,4.95,16837.0,United Kingdom,19.8
537868,22539,MINI JIGSAW DOLLY GIRL,24,2010-12-08 16:49:00,0.42,12433.0,Norway,10.08
560597,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,2011-07-19 16:54:00,2.55,13798.0,United Kingdom,244.79999999999998
552555,22179,SET 10 LIGHTS NIGHT OWL,12,2011-05-10 11:20:00,6.75,18242.0,United Kingdom,81.0
572216,23388,WOODLAND MINI BACKPACK,2,2011-10-21 12:56:00,4.15,16015.0,United Kingdom,8.3
563931,22624,IVORY KITCHEN SCALES,2,2011-08-21 15:49:00,8.5,14895.0,United Kingdom,17.0
581166,23494,VINTAGE DOILY DELUXE SEWING KIT ,1,2011-12-07 14:43:00,5.95,15525.0,United Kingdom,5.95
573373,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,2011-10-30 13:37:00,1.45,14684.0,United Kingdom,1.45
564353,23318,BOX OF 6 MINI VINTAGE CRACKERS,48,2011-08-24 15:08:00,2.08,15764.0,United Kingdom,99.84
